组1,#genre#
1无,https://0472.org/hls/cgtn.m3u8#https://liuliuliu.tv/api/channels/1997/stream$高清1线#https://liuliuliu.tv/api/channels/2004/stream$高清2线
1有,https://0472.org/hls/cgtn.m3u8$高清1线#https://liuliuliu.tv/api/channels/1997/stream#https://liuliuliu.tv/api/channels/2004/stream
3全有,https://0472.org/hls/cgtn.m3u8$高清1线#https://liuliuliu.tv/api/channels/1997/stream$高清2线#https://liuliuliu.tv/api/channels/2004/stream$高清3线
3全无,https://0472.org/hls/cgtn.m3u8#https://liuliuliu.tv/api/channels/1997/stream#https://liuliuliu.tv/api/channels/2004/stream
组2,#genre#
2,https://0472.org/hls/cgtn.m3u8
2,https://liuliuliu.tv/api/channels/1997/stream
2,https://liuliuliu.tv/api/channels/2004/stream
组3,#genre#
3,https://0472.org/hls/cgtn.m3u8$高清1线
3,https://liuliuliu.tv/api/channels/1997/stream$高清2线
3,https://liuliuliu.tv/api/channels/2004/stream$高清3线
