央视频道,#genre#
CCTV1-综合,http://110.52.9.180:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2-财经,http://110.52.9.180:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3-综艺,http://110.52.9.180:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4-国际,http://110.52.9.180:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5-体育,http://110.52.9.180:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6-电影,http://110.52.9.180:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7-军农,http://110.52.9.180:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8-电视剧,http://110.52.9.180:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10-科教,http://110.52.9.180:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11-戏曲,http://110.52.9.180:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12-社会与法,http://110.52.9.180:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13-新闻,http://110.52.9.180:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14-少儿,http://110.52.9.180:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://110.52.9.180:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-NEWS,http://110.52.9.180:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&down=1
中国教育1,http://110.52.9.180:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
湖南频道,#genre#
湖南卫视,http://110.52.9.180:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&down=1
湖南公共,http://110.52.9.180:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
湖南娱乐,http://110.52.9.180:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&down=1
湖南电影,http://110.52.9.180:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
湖南电视剧,http://110.52.9.180:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
湖南经视,http://110.52.9.180:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&down=1
湖南都市,http://110.52.9.180:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
湖南教育,http://110.52.9.180:9901/tsfile/live/1075_1.m3u8?key=txiptv&playlive=1&down=1
金鹰纪实,http://110.52.9.180:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
常德公共,http://110.52.9.180:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&down=1
常德新闻,http://110.52.9.180:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&down=1
都市剧场,http://110.52.9.180:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1
安乡综合,http://110.52.9.180:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
卫视频道,#genre#
东方卫视,http://110.52.9.180:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&down=1
内蒙古卫视,http://110.52.9.180:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://110.52.9.180:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://110.52.9.180:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://110.52.9.180:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&down=1
宁夏卫视,http://110.52.9.180:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://110.52.9.180:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&down=1
山西卫视,http://110.52.9.180:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://110.52.9.180:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&down=1
延边卫视,http://110.52.9.180:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1
新疆卫视,http://110.52.9.180:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://110.52.9.180:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://110.52.9.180:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://110.52.9.180:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://110.52.9.180:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://110.52.9.180:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://110.52.9.180:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://110.52.9.180:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://110.52.9.180:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&down=1
优优宝贝,http://110.52.9.180:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&down=1
其他频道,#genre#
CHC家庭影院,http://110.52.9.180:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CHC高清电影,http://110.52.9.180:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CHC动作电影,http://110.52.9.180:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
四海钓鱼,http://110.52.9.180:9901/tsfile/live/1081_1.m3u8?key=txiptv&playlive=1&down=1
中华美食,http://110.52.9.180:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&down=1
劲爆体育,http://110.52.9.180:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1
天元围棋,http://110.52.9.180:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
快乐购,http://110.52.9.180:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
摄影频道,http://110.52.9.180:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
标清试播1,http://110.52.9.180:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&down=1
标清试播2,http://110.52.9.180:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&down=1
游戏风云,http://110.52.9.180:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&down=1
法治天地,http://110.52.9.180:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&down=1
移动戏曲,http://110.52.9.180:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&down=1
茶频道,http://110.52.9.180:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&down=1
财富天下,http://110.52.9.180:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&down=1
